IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
156230931,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,21:00,SOUTHERN,NONE,HARRISON ST / 3RD ST,-122.3973888,37.78255435,(37.7825543452426/ -122.397388784826),1.56E+13
156230301,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,9/16/2015,21:00,NORTHERN,NONE,GROVE ST / STEINER ST,-122.4330299,37.7765502,(37.7765501954051/ -122.433029915448),1.56E+13
150814890,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,21:00,CENTRAL,NONE,600 Block of KEARNY ST,-122.4048219,37.79422862,(37.7942286247262/ -122.404821897781),1.51E+13
156230856,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,9/16/2015,21:00,SOUTHERN,NONE,300 Block of 2ND ST,-122.3955644,37.78455502,(37.7845550166368/ -122.395564408516),1.56E+13
150814787,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,9/16/2015,20:40,TENDERLOIN,ARREST/ BOOKED,200 Block of EDDY ST,-122.4118001,37.78408904,(37.7840890366868/ -122.411800134753),1.51E+13
150814787,OTHER OFFENSES,RESISTING ARREST,Wednesday,9/16/2015,20:40,TENDERLOIN,ARREST/ BOOKED,200 Block of EDDY ST,-122.4118001,37.78408904,(37.7840890366868/ -122.411800134753),1.51E+13
150814680,TRESPASS,TRESPASSING,Wednesday,9/16/2015,20:40,NORTHERN,ARREST/ BOOKED,200 Block of FRANKLIN ST,-122.4213512,37.77684957,(37.7768495726299/ -122.421351246136),1.51E+13
150814737,NON-CRIMINAL,AIDED CASE/ MENTAL DISTURBED,Wednesday,9/16/2015,20:32,NORTHERN,NONE,2300 Block of SACRAMENTO ST,-122.4315874,37.79020039,(37.790200386759/ -122.431587353631),1.51E+13
150816868,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,9/16/2015,20:30,SOUTHERN,NONE,3RD ST / MISSION ST,-122.4020277,37.78624835,(37.7862483456629/ -122.402027706948),1.51E+13
150814668,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,9/16/2015,20:30,PARK,NONE,1400 Block of HAIGHT ST,-122.4461656,37.77016118,(37.7701611813393/ -122.446165617978),1.51E+13
150814931,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,9/16/2015,20:30,INGLESIDE,NONE,100 Block of POPE ST,-122.44094,37.71325927,(37.7132592659067/ -122.440940005427),1.51E+13
150815616,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM OF VEHICLES,Wednesday,9/16/2015,20:30,NORTHERN,NONE,1100 Block of LARKIN ST,-122.4184459,37.78821845,(37.7882184507651/ -122.418445946252),1.51E+13
150815484,NON-CRIMINAL,LOST PROPERTY,Wednesday,9/16/2015,20:30,TENDERLOIN,NONE,100 Block of ELLIS ST,-122.4082707,37.78549414,(37.7854941424186/ -122.408270724034),1.51E+13
156229445,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,9/16/2015,20:30,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.4319796,37.78004785,(37.7800478529923/ -122.431979576386),1.56E+13
156231804,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,20:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479),1.56E+13
150815133,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,9/16/2015,20:24,INGLESIDE,NONE,300 Block of ALEMANY BL,-122.4123984,37.73405613,(37.7340561320083/ -122.412398375843),1.51E+13
150814696,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,9/16/2015,20:20,INGLESIDE,NONE,5000 Block of MISSION ST,-122.4403882,37.71745801,(37.7174580136719/ -122.440388229194),1.51E+13
150814696,ROBBERY,ROBBERY/ ARMED WITH A DANGEROUS WEAPON,Wednesday,9/16/2015,20:20,INGLESIDE,NONE,5000 Block of MISSION ST,-122.4403882,37.71745801,(37.7174580136719/ -122.440388229194),1.51E+13
